student_name,grade,class,school,district,scale_code,scale_name,domain,language,window,2YO_attempted,2YO_correct,2YO_cutoff,2YO_passed,3YO_attempted,3YO_correct,3YO_cutoff,3YO_passed,4YO_attempted,4YO_correct,4YO_cutoff,4YO_passed,KG_attempted,KG_correct,KG_cutoff,KG_passed,learning_zone
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,ATL5a,Corazon Estrella,Executive Function,Spanish,Spring 2026,12,5,10,FAIL,12,10,10,PASS,12,5,10,FAIL,,,,,2YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,ATL5b,Dia Noche,Executive Function,Spanish,Spring 2026,12,11,10,PASS,12,2,10,FAIL,,,,,,,,,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,ATL8,Secuencia Inversa,Executive Function,Spanish,Spring 2026,9,5,7,FAIL,6,1,4,FAIL,,,,,,,,,2YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,ATL9,Pensamiento Flexible,Executive Function,Spanish,Spring 2026,6,6,4,PASS,11,8,9,FAIL,5,3,3,PASS,10,4,8,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LAN6,Vocabulario,Language,Spanish,Spring 2026,8,7,6,PASS,8,6,6,PASS,8,6,6,PASS,12,10,10,PASS,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LAN7a,Categorias De Palabras,Language,Spanish,Spring 2026,6,6,4,PASS,6,6,4,PASS,7,7,5,PASS,6,4,4,PASS,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LAN7b,Caracteristicas Compartidas,Language,Spanish,Spring 2026,6,4,4,PASS,6,5,4,PASS,6,6,4,PASS,6,3,4,FAIL,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT1a,Silabas,Literacy,Spanish,Fall 2025,,,,,6,0,4,FAIL,6,4,4,PASS,6,1,4,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT1b,Fonemas,Literacy,Spanish,Fall 2025,,,,,,,,,6,4,4,PASS,6,3,4,FAIL,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT1b,Fonemas,Literacy,Spanish,Spring 2026,,,,,,,,,7,4,5,FAIL,7,1,5,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT1c,Aliteracion,Literacy,Spanish,Fall 2025,,,,,6,3,4,FAIL,6,5,4,PASS,6,4,4,PASS,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT2,Concocimiento De Lo Impreso,Literacy,Spanish,Spring 2026,,,,,7,6,5,PASS,7,7,5,PASS,5,1,3,FAIL,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT3a,Nombres De Letras,Literacy,Spanish,Spring 2026,,,,,6,4,4,PASS,6,3,4,FAIL,5,0,3,FAIL,4YO Skills
